participant_id,notes,comments1
115,no,NA
116,no,NA
117,no,NA
118,no,It was hard to remember all of them so I just tried as hard as I could to link the names with the shapes.
119,no,I would prefer to write down the words but thought that I couldnt. The words are very abstract so there is nothing that I could grasp to associate the words with the images
120,no,NA
121,no,A note somewhere stating each image is it's own word somewhere would be appreciated. I didn't realize each one was different until the 3rd round.
122,no,I find it hard to study languages so it was interesting to take part. The best I could do was try to remember all of the initial sounds of each shape and then from there try to remember the words - I don’t think I did too well :)
123,no,NA
124,no,i need to take notes to learn. i'd say i got none right
125,no,i believe having a multiple choice option for when the names are would help remember at the end.
126,no,At first I thought there was a pattern with the shape corresponding to the first syllable and the inside pattern corresponding to the last syllable  but after the first two times through the learning portion  maybe not! Very interesting.
127,no,I think it'd be more pertinent if it were multiple choice  or if we were told we'd actually have to write the words instead of multiple choice. Thanks!
128,no,NA
129,no,Found it easyish to memorise numbers but really struggled to remember the words and shapes
130,no,no further comments
131,no,"That was tough,  I think I focused on the numbers too much and should have focused on the pattern in the words to shapes :("
132,no,This was a really hard test!
133,no,it was fun!
134,no,"Figuring out the prefixes for the shapes and the suffixes for the patterns made this much easier. (Not that I'm sure I actually remembered which went with which.) The first round was stressful,  as I at first assumed each shape/pattern combo would be a unique  it just meant remembering which shape went with which prefix and which pattern went with which suffix. word. But once I saw that there was a relatively easy pattern"
135,no,n/a
136,no,NA
137,no,NA
138,no,NA
139,no,In a few cases  when I hit submit on my word  my laptop computer registered an auto-corrected word instead
141,no,nope!
142,no,NA
143,no,This was very difficult to remember due to the black and white
144,no,NA
145,no,NA
146,no,N/A
147,no,NA
148,no,"fun memory experiment,  probably easy for people with good short term memory or can easily associate words with shapes"
149,no,NA
150,no,Seemed to only be able to concentrate on the numbers. If I got a number wrong. more attention went on the number next time and therefore less on the word and shape.
151,no,NA
152,no,NA
153,no,No
154,no,Very hard to remember the names of the shapes when remembering numbers along side.
155,no,Focused on words and numbers missed out on the shapes totally
156,no,NA
157,no,"I have ZERO confidence in my answers for ANY of the shape names D: Pretty sure I may have invented a couple that weren't even in the experiment,  sorry :/"
158,no,NA
159,no,Difficult with trying to remember numbers
160,no,good survey
